CustomerID,Recency,Frequency,Monetary,AvgOrderValue,Tenure,ProductDiversity,R_Score,F_Score,M_Score,RFM_Score,Segment
12399,119,4,1108.65,277.1625,142,47,2.0,4.0,4.0,10.0,Loyal Customers
12401,303,1,84.3,84.3,0,5,1.0,1.0,1.0,3.0,Hibernating
12402,323,1,225.6,225.6,0,11,1.0,1.0,1.0,3.0,Hibernating
12403,50,2,409.7,204.85,0,5,3.0,2.0,2.0,7.0,Recent Customers
12405,149,1,1710.39,1710.39,0,54,2.0,1.0,4.0,7.0,At Risk
12406,22,3,3280.75,1093.5833333333333,161,92,4.0,3.0,5.0,12.0,Champions
12407,50,5,1708.1200000000001,341.62399999999997,214,57,3.0,4.0,4.0,11.0,Loyal Customers
12408,33,9,2842.57,315.8411111111111,227,81,3.0,5.0,5.0,13.0,Champions
12409,79,7,11056.93,1579.5614285714287,103,91,2.0,4.0,5.0,11.0,Loyal Customers
12410,301,3,681.0799999999999,227.02666666666664,7,26,1.0,3.0,3.0,7.0,At Risk
12412,75,3,1226.88,408.96000000000004,94,43,2.0,3.0,4.0,9.0,Loyal Customers
12413,67,5,694.15,138.82999999999998,270,29,3.0,4.0,3.0,10.0,Loyal Customers
12414,217,3,562.41,187.47,93,16,1.0,3.0,3.0,7.0,At Risk
12415,24,26,123725.45,4758.671153846154,313,444,4.0,5.0,5.0,14.0,Champions
12417,3,12,3578.8,298.23333333333335,354,158,5.0,5.0,5.0,15.0,Champions
12418,113,1,668.58,668.58,0,34,2.0,1.0,3.0,6.0,At Risk
12420,64,1,600.39,600.39,0,29,3.0,1.0,3.0,7.0,Recent Customers
12421,16,5,806.27,161.254,303,33,4.0,4.0,3.0,11.0,Loyal Customers
12422,96,3,803.5600000000001,267.8533333333333,229,39,2.0,3.0,3.0,8.0,At Risk
12423,1,9,1849.11,205.45666666666668,352,97,5.0,5.0,4.0,14.0,Champions
12424,163,2,1760.96,880.4800000000001,0,30,2.0,2.0,4.0,8.0,At Risk
12425,78,1,777.2,777.2,0,36,2.0,1.0,3.0,6.0,At Risk
12426,195,1,582.73,582.73,0,30,1.0,1.0,3.0,5.0,At Risk
12427,12,5,708.37,141.674,360,26,4.0,4.0,3.0,11.0,Loyal Customers
12428,26,12,7877.2,656.4333333333333,257,258,4.0,5.0,5.0,14.0,Champions
12429,9,4,3750.4,937.6,356,82,5.0,4.0,5.0,14.0,Champions
12430,43,1,256.4,256.4,0,11,3.0,1.0,2.0,6.0,Recent Customers
12431,36,18,6416.39,356.4661111111111,338,163,3.0,5.0,5.0,13.0,Champions
12432,43,5,5059.32,1011.8639999999999,129,107,3.0,4.0,5.0,12.0,Champions
12433,1,7,13375.87,1910.8385714285716,372,219,5.0,4.0,5.0,14.0,Champions
12434,85,4,765.19,191.29749999999999,276,49,2.0,4.0,3.0,9.0,Loyal Customers
12435,80,2,7829.89,3914.945,188,31,2.0,2.0,5.0,9.0,Loyal Customers
12436,100,1,509.01,509.01,0,16,2.0,1.0,3.0,6.0,At Risk
12437,2,19,4896.66,257.718947368421,329,118,5.0,5.0,5.0,15.0,Champions
12438,14,2,2906.85,1453.425,125,84,4.0,2.0,5.0,11.0,Loyal Customers
12441,367,1,173.55,173.55,0,11,1.0,1.0,1.0,3.0,Hibernating
12442,3,1,172.06,172.06,0,12,5.0,1.0,1.0,7.0,Potential Loyalists
12444,21,5,5005.46,1001.092,149,138,4.0,4.0,5.0,13.0,Champions
12445,22,1,133.4,133.4,0,4,4.0,1.0,1.0,6.0,Potential Loyalists
12446,58,1,1002.3100000000001,1002.3100000000001,0,57,3.0,1.0,4.0,8.0,Recent Customers
12447,243,1,476.49,476.49,0,26,1.0,1.0,3.0,5.0,At Risk
12448,44,1,449.45,449.45,0,22,3.0,1.0,2.0,6.0,Recent Customers
12449,22,4,4067.29,1016.8225,164,118,4.0,4.0,5.0,13.0,Champions
12450,156,2,197.88,98.94,17,7,2.0,2.0,1.0,5.0,Hibernating
12451,11,6,8933.52,1488.92,313,265,5.0,4.0,5.0,14.0,Champions
12452,17,3,428.57,142.85666666666665,0,21,4.0,3.0,2.0,9.0,Loyal Customers
12453,134,1,707.09,707.09,0,43,2.0,1.0,3.0,6.0,At Risk
12454,53,2,5.684341886080802e-14,2.2737367544323206e-13,2,15,3.0,2.0,1.0,6.0,Recent Customers
12455,73,6,2466.86,411.1433333333334,223,85,2.0,4.0,5.0,11.0,Loyal Customers
12456,44,4,3153.89,788.4725,210,105,3.0,4.0,5.0,12.0,Champions
12457,58,12,1917.78,159.815,180,53,3.0,5.0,4.0,12.0,Champions
12458,71,2,947.4,473.70000000000005,213,35,3.0,2.0,4.0,9.0,Loyal Customers
12461,94,2,826.88,413.44,60,35,2.0,2.0,3.0,7.0,At Risk
12462,2,4,1124.01,281.0025,300,51,5.0,4.0,4.0,13.0,Champions
12463,46,7,1303.63,186.23285714285717,195,66,3.0,4.0,4.0,11.0,Loyal Customers
12464,10,8,1212.05,151.50625,299,6,5.0,5.0,4.0,14.0,Champions
12465,8,3,733.89,244.63,161,46,5.0,3.0,3.0,11.0,Loyal Customers
12468,143,3,724.0400000000001,241.3466666666667,173,36,2.0,3.0,3.0,8.0,At Risk
12471,2,49,18740.92,382.46775510204077,370,152,5.0,5.0,5.0,15.0,Champions
12472,31,13,6229.48,479.19076923076926,342,226,4.0,5.0,5.0,14.0,Champions
12473,29,9,2848.23,316.47,162,140,4.0,5.0,5.0,14.0,Champions
12474,17,30,7116.47,237.21566666666666,351,253,4.0,5.0,5.0,14.0,Champions
12475,54,1,723.38,723.38,0,36,3.0,1.0,3.0,7.0,Recent Customers
12476,1,20,6546.58,327.329,359,177,5.0,5.0,5.0,15.0,Champions
12477,23,9,13117.01,1457.4455555555555,288,192,4.0,5.0,5.0,14.0,Champions
12478,4,1,680.99,680.99,0,36,5.0,1.0,3.0,9.0,Loyal Customers
12479,4,3,477.3,159.10000000000002,7,31,5.0,3.0,3.0,11.0,Loyal Customers
12480,28,4,3281.63,820.4075,307,129,4.0,4.0,5.0,13.0,Champions
12481,23,11,5590.86,508.26000000000005,342,150,4.0,5.0,5.0,14.0,Champions
12483,17,13,2327.13,179.01000000000002,322,46,4.0,5.0,5.0,14.0,Champions
12484,33,8,4495.27,561.90875,303,256,3.0,5.0,5.0,13.0,Champions
12488,10,3,1298.66,432.8866666666667,65,46,5.0,3.0,4.0,12.0,Champions
12489,336,1,334.93,334.93,0,15,1.0,1.0,2.0,4.0,Hibernating
12490,5,10,5417.93,541.793,324,131,5.0,5.0,5.0,15.0,Champions
12491,39,1,460.40000000000003,460.40000000000003,0,25,3.0,1.0,2.0,6.0,Recent Customers
12492,63,2,263.21000000000004,131.60500000000002,42,19,3.0,2.0,2.0,7.0,Recent Customers
12493,166,3,416.79,138.93,31,20,2.0,3.0,2.0,7.0,Hibernating
12494,10,13,1139.3500000000001,87.6423076923077,355,63,5.0,5.0,4.0,14.0,Champions
12497,82,1,1043.1,1043.1,0,14,2.0,1.0,4.0,7.0,At Risk
12498,21,3,403.70000000000005,134.56666666666666,36,21,4.0,3.0,2.0,9.0,Loyal Customers
12500,23,13,4206.27,323.5592307692308,310,34,4.0,5.0,5.0,14.0,Champions
12501,315,2,2089.68,1044.84,21,149,1.0,2.0,5.0,8.0,At Risk
12502,96,5,3723.87,744.774,214,102,2.0,4.0,5.0,11.0,Loyal Customers
12503,338,1,-1126.0,-1126.0,0,1,1.0,1.0,1.0,3.0,Hibernating
12504,18,4,114.0,28.5,12,6,4.0,4.0,1.0,9.0,Loyal Customers
12505,301,1,-4.5,-4.5,0,1,1.0,1.0,1.0,3.0,Hibernating
12506,233,1,73.5,73.5,0,23,1.0,1.0,1.0,3.0,Hibernating
12507,134,4,1258.06,314.515,164,19,2.0,4.0,4.0,10.0,Loyal Customers
12508,26,2,398.27,199.135,2,57,4.0,2.0,2.0,8.0,Potential Loyalists
12509,284,1,176.5,176.5,0,7,1.0,1.0,1.0,3.0,Hibernating
12510,143,2,982.5699999999999,491.28499999999997,182,29,2.0,2.0,4.0,8.0,At Risk
12512,66,2,138.03,69.015,0,31,3.0,2.0,1.0,6.0,Recent Customers
12513,85,2,586.79,293.395,28,35,2.0,2.0,3.0,7.0,At Risk
12514,267,1,1017.68,1017.68,0,51,1.0,1.0,4.0,6.0,At Risk
12515,353,1,383.7,383.7,0,16,1.0,1.0,2.0,4.0,Hibernating
12516,78,2,1312.06,656.03,102,20,2.0,2.0,4.0,8.0,At Risk
12517,28,6,2464.89,410.815,161,232,4.0,4.0,5.0,13.0,Champions
12518,1,5,2056.89,411.378,109,84,5.0,4.0,5.0,14.0,Champions
12519,64,1,340.84,340.84,0,17,3.0,1.0,2.0,6.0,Recent Customers
12520,79,6,2582.51,430.41833333333335,194,121,2.0,4.0,5.0,11.0,Loyal Customers
12521,143,1,599.68,599.68,0,38,2.0,1.0,3.0,6.0,At Risk
12522,39,2,192.72,96.36,12,11,3.0,2.0,1.0,6.0,Recent Customers
12523,2,13,1745.57,134.27461538461537,330,84,5.0,5.0,4.0,14.0,Champions
12524,9,8,4485.72,560.7149999999999,324,113,5.0,5.0,5.0,15.0,Champions
12526,1,3,1316.66,438.8866666666666,93,64,5.0,3.0,4.0,12.0,Champions
12527,82,3,348.71000000000004,116.23666666666668,243,18,2.0,3.0,2.0,7.0,Hibernating
12528,9,8,1922.28,240.285,303,50,5.0,5.0,4.0,14.0,Champions
12530,60,5,1623.63,324.726,277,51,3.0,4.0,4.0,11.0,Loyal Customers
12531,15,1,125.22,125.22,0,17,4.0,1.0,1.0,6.0,Potential Loyalists
12532,30,1,349.83000000000004,349.83000000000004,0,16,4.0,1.0,2.0,7.0,Potential Loyalists
12534,131,1,1089.18,1089.18,0,63,2.0,1.0,4.0,7.0,At Risk
12535,92,2,716.35,358.17499999999995,94,28,2.0,2.0,3.0,7.0,At Risk
12536,8,5,4106.82,821.3639999999998,51,260,5.0,4.0,5.0,14.0,Champions
12538,29,1,363.95,363.95,0,21,4.0,1.0,2.0,7.0,Potential Loyalists
12539,22,5,3852.5,770.5,311,158,4.0,4.0,5.0,13.0,Champions
12540,20,19,13309.039999999999,700.4757894736841,342,278,4.0,5.0,5.0,14.0,Champions
12541,30,3,981.18,327.06,251,46,4.0,3.0,4.0,11.0,Loyal Customers
12544,30,2,355.7,177.85,6,19,4.0,2.0,2.0,8.0,Potential Loyalists
12545,75,2,1000.39,500.195,184,42,2.0,2.0,4.0,8.0,At Risk
12546,47,3,1141.5,380.5,31,59,3.0,3.0,4.0,10.0,Loyal Customers
12547,198,2,207.79999999999998,103.9,82,7,1.0,2.0,1.0,4.0,Hibernating
12548,166,1,95.19999999999999,95.19999999999999,0,5,2.0,1.0,1.0,4.0,Hibernating
12550,79,1,964.83,964.83,0,57,2.0,1.0,4.0,7.0,At Risk
12551,358,1,168.0,168.0,0,10,1.0,1.0,1.0,3.0,Hibernating
12552,39,2,437.82,218.91,0,20,3.0,2.0,2.0,7.0,Recent Customers
12553,8,14,3652.25,260.875,321,95,5.0,5.0,5.0,15.0,Champions
12556,50,2,603.71,301.855,100,100,3.0,2.0,3.0,8.0,Recent Customers
12557,16,5,11990.960000000001,2398.192,355,15,4.0,4.0,5.0,13.0,Champions
12558,2,2,1.0658141036401503e-14,0.0,5,11,5.0,2.0,1.0,8.0,Potential Loyalists
12559,311,3,536.21,178.73666666666668,8,21,1.0,3.0,3.0,7.0,At Risk
12560,5,4,2101.39,525.3475,137,92,5.0,4.0,5.0,14.0,Champions
12561,303,1,238.85,238.85,0,16,1.0,1.0,2.0,4.0,Hibernating
12562,8,7,3781.7400000000002,540.2485714285714,190,99,5.0,4.0,5.0,14.0,Champions
12564,261,1,456.9,456.9,0,21,1.0,1.0,2.0,4.0,Hibernating
12565,282,2,131.17,65.585,7,9,1.0,2.0,1.0,4.0,Hibernating
12566,73,2,346.7,173.35,13,19,2.0,2.0,2.0,6.0,Hibernating
12567,23,11,9114.94,828.6309090909091,346,323,4.0,5.0,5.0,14.0,Champions
12569,2,35,4064.9900000000002,116.14257142857143,250,92,5.0,5.0,5.0,15.0,Champions
12571,40,2,519.61,259.805,81,31,3.0,2.0,3.0,8.0,Recent Customers
12572,9,3,1004.72,334.9066666666667,43,53,5.0,3.0,4.0,12.0,Champions
12573,227,1,160.54000000000002,160.54000000000002,0,26,1.0,1.0,1.0,3.0,Hibernating
12574,316,1,218.45,218.45,0,11,1.0,1.0,1.0,3.0,Hibernating
12576,36,6,1306.98,217.83,268,72,3.0,4.0,4.0,11.0,Loyal Customers
12577,35,4,595.4,148.85,323,137,3.0,4.0,3.0,10.0,Loyal Customers
12578,21,4,2753.36,688.34,317,112,4.0,4.0,5.0,13.0,Champions
12579,73,3,410.72,136.90666666666667,4,29,2.0,3.0,2.0,7.0,Hibernating
12580,247,1,415.7,415.7,0,24,1.0,1.0,2.0,4.0,Hibernating
12581,40,1,197.71,197.71,0,15,3.0,1.0,1.0,5.0,Recent Customers
12582,239,2,511.36,255.68,49,21,1.0,2.0,3.0,6.0,At Risk
12583,3,18,7187.34,399.2966666666667,370,115,5.0,5.0,5.0,15.0,Champions
12584,4,18,1893.95,105.21944444444445,276,44,5.0,5.0,4.0,14.0,Champions
12585,234,4,1982.81,495.7025,117,77,1.0,4.0,4.0,9.0,Loyal Customers
12586,17,2,179.94000000000003,89.97000000000001,351,12,4.0,2.0,1.0,7.0,Potential Loyalists
12587,8,1,144.0,144.0,0,4,5.0,1.0,1.0,7.0,Potential Loyalists
12588,39,1,214.89999999999998,214.89999999999998,0,10,3.0,1.0,1.0,5.0,Recent Customers
12589,29,2,646.68,323.34000000000003,115,29,4.0,2.0,3.0,9.0,Loyal Customers
12590,190,3,9861.38,3287.126666666667,20,68,1.0,3.0,5.0,9.0,Loyal Customers
12591,317,1,452.84999999999997,452.84999999999997,0,26,1.0,1.0,2.0,4.0,Hibernating
12592,92,2,437.6,218.8,121,11,2.0,2.0,2.0,6.0,Hibernating
12593,109,3,418.09999999999997,139.36666666666667,110,14,2.0,3.0,2.0,7.0,Hibernating
12594,38,11,3320.2200000000003,301.83818181818185,285,50,3.0,5.0,5.0,13.0,Champions
12596,51,2,618.27,309.135,190,25,3.0,2.0,3.0,8.0,Recent Customers
12597,19,5,3683.13,736.626,248,184,4.0,4.0,5.0,13.0,Champions
12598,10,9,3002.68,333.63111111111107,275,84,5.0,5.0,5.0,15.0,Champions
12599,29,7,1032.58,147.51142857142855,275,32,4.0,4.0,4.0,12.0,Champions
12600,29,11,2581.04,234.64,342,32,4.0,5.0,5.0,14.0,Champions
12601,190,6,569.5600000000001,94.92666666666666,142,21,1.0,4.0,3.0,8.0,At Risk
12602,59,1,153.12,153.12,0,12,3.0,1.0,1.0,5.0,Recent Customers
12603,22,1,739.1999999999999,739.1999999999999,0,2,4.0,1.0,3.0,8.0,Potential Loyalists
12604,79,2,254.18,127.09,182,15,2.0,2.0,2.0,6.0,Hibernating
12605,365,1,-7.5,-7.5,0,3,1.0,1.0,1.0,3.0,Hibernating
12607,58,2,3.552713678800501e-15,0.0,2,101,3.0,2.0,1.0,6.0,Recent Customers
12609,78,3,1126.85,375.6166666666666,240,57,2.0,3.0,4.0,9.0,Loyal Customers
12610,23,7,2057.99,293.9985714285714,103,85,4.0,4.0,5.0,13.0,Champions
12611,52,1,1193.32,1193.32,0,65,3.0,1.0,4.0,8.0,Recent Customers
12612,58,2,643.59,321.795,16,19,3.0,2.0,3.0,8.0,Recent Customers
12613,31,6,3218.98,536.4966666666667,230,124,4.0,4.0,5.0,13.0,Champions
12614,278,1,315.6,315.6,0,20,1.0,1.0,2.0,4.0,Hibernating
12615,2,4,2291.19,572.7975,166,82,5.0,4.0,5.0,14.0,Champions
12616,85,5,657.25,131.45,212,25,2.0,4.0,3.0,9.0,Loyal Customers
12617,29,1,355.53,355.53,0,39,4.0,1.0,2.0,7.0,Potential Loyalists
12618,22,1,177.31,177.31,0,11,4.0,1.0,1.0,6.0,Potential Loyalists
12619,16,13,3214.81,247.2930769230769,237,50,4.0,5.0,5.0,14.0,Champions
12620,15,3,1339.41,446.46999999999997,189,89,4.0,3.0,4.0,11.0,Loyal Customers
12621,2,23,13612.07,591.8291304347825,364,261,5.0,5.0,5.0,15.0,Champions
12622,232,1,180.1,180.1,0,11,1.0,1.0,1.0,3.0,Hibernating
12623,276,1,305.1,305.1,0,18,1.0,1.0,2.0,4.0,Hibernating
12624,106,2,641.13,320.565,71,36,2.0,2.0,3.0,7.0,At Risk
12625,212,3,2614.32,871.4399999999999,107,74,1.0,3.0,5.0,9.0,Loyal Customers
12626,23,13,6388.35,491.4115384615385,303,232,4.0,5.0,5.0,14.0,Champions
12627,11,7,4478.53,639.79,129,162,5.0,4.0,5.0,14.0,Champions
12628,4,4,769.61,192.4025,60,34,5.0,4.0,3.0,12.0,Champions
12630,10,2,1270.88,635.44,34,60,5.0,2.0,4.0,11.0,Loyal Customers
12631,57,1,640.5,640.5,0,31,3.0,1.0,3.0,7.0,Recent Customers
12633,59,5,2140.63,428.12600000000003,229,73,3.0,4.0,5.0,12.0,Champions
12635,90,2,1689.18,844.5899999999999,65,96,2.0,2.0,4.0,8.0,At Risk
12637,67,10,5953.25,595.325,256,205,3.0,5.0,5.0,13.0,Champions
12638,33,1,671.69,671.69,0,39,3.0,1.0,3.0,7.0,Recent Customers
12639,239,1,486.1,486.1,0,22,1.0,1.0,3.0,5.0,At Risk
12640,24,3,1174.58,391.5266666666667,57,47,4.0,3.0,4.0,11.0,Loyal Customers
12641,115,1,185.9,185.9,0,10,2.0,1.0,1.0,4.0,Hibernating
12642,25,3,1013.26,337.75333333333333,82,39,4.0,3.0,4.0,11.0,Loyal Customers
12643,128,6,3344.64,557.44,204,11,2.0,4.0,5.0,11.0,Loyal Customers
12644,130,1,477.91,477.91,0,31,2.0,1.0,3.0,6.0,At Risk
12645,34,5,1755.38,351.076,282,58,3.0,4.0,4.0,11.0,Loyal Customers
12646,5,2,1346.97,673.4849999999999,44,43,5.0,2.0,4.0,11.0,Loyal Customers
12647,22,13,3669.92,282.3015384615385,346,78,4.0,5.0,5.0,14.0,Champions
12648,155,1,318.05,318.05,0,21,2.0,1.0,2.0,5.0,Hibernating
12649,107,4,603.71,150.9275,257,30,2.0,4.0,3.0,9.0,Loyal Customers
12650,3,1,314.44,314.44,0,20,5.0,1.0,2.0,8.0,Potential Loyalists
12651,335,1,114.0,114.0,0,9,1.0,1.0,1.0,3.0,Hibernating
12652,322,2,914.53,457.265,9,48,1.0,2.0,4.0,7.0,At Risk
12653,149,2,2209.85,1104.925,147,37,2.0,2.0,5.0,9.0,Loyal Customers
12654,11,5,601.98,120.396,284,31,5.0,4.0,3.0,12.0,Champions
12656,17,8,3982.72,497.84,225,89,4.0,5.0,5.0,14.0,Champions
12657,11,5,1152.06,230.41199999999998,67,35,5.0,4.0,4.0,13.0,Champions
12658,19,1,686.05,686.05,0,36,4.0,1.0,3.0,8.0,Potential Loyalists
12659,30,1,91.68,91.68,0,5,4.0,1.0,1.0,6.0,Potential Loyalists
12660,11,1,245.1,245.1,0,13,5.0,1.0,2.0,8.0,Potential Loyalists
12662,1,12,3817.08,318.09,372,129,5.0,5.0,5.0,15.0,Champions
12664,8,10,4863.88,486.38800000000003,314,10,5.0,5.0,5.0,15.0,Champions
12665,325,2,61.75,30.875,6,3,1.0,2.0,1.0,4.0,Hibernating
12666,359,1,-227.44,-227.44,0,2,1.0,1.0,1.0,3.0,Hibernating
12667,58,1,620.13,620.13,0,33,3.0,1.0,3.0,7.0,Recent Customers
12668,7,6,3743.18,623.8633333333333,348,115,5.0,4.0,5.0,14.0,Champions
12669,151,4,1607.73,401.9325,105,98,2.0,4.0,4.0,10.0,Loyal Customers
12670,10,6,2986.15,497.6916666666666,222,58,5.0,4.0,5.0,14.0,Champions
12672,330,1,225.89999999999998,225.89999999999998,0,10,1.0,1.0,1.0,3.0,Hibernating
12673,5,2,610.52,305.26,321,42,5.0,2.0,3.0,10.0,Loyal Customers
12674,12,7,1919.31,274.1871428571429,196,52,4.0,4.0,4.0,12.0,Champions
12676,25,6,1331.39,221.89833333333334,286,33,4.0,4.0,4.0,12.0,Champions
12678,42,13,17588.26,1352.943076923077,311,105,3.0,5.0,5.0,13.0,Champions
12679,52,9,1058.67,117.63000000000001,231,45,3.0,5.0,4.0,12.0,Champions
12680,1,4,862.81,215.7025,112,33,5.0,4.0,3.0,12.0,Champions
12681,15,27,13677.59,506.5774074074074,353,267,4.0,5.0,5.0,14.0,Champions
12682,4,31,12288.22,396.3941935483871,367,209,5.0,5.0,5.0,15.0,Champions
12683,4,20,8221.09,411.0545,361,177,5.0,5.0,5.0,15.0,Champions
12684,8,7,2283.63,326.23285714285714,205,61,5.0,4.0,5.0,14.0,Champions
12685,28,6,2863.08,477.18,65,117,4.0,4.0,5.0,13.0,Champions
12686,372,1,89.14,89.14,0,7,1.0,1.0,1.0,3.0,Hibernating
12688,114,1,4873.8099999999995,4873.8099999999995,0,171,2.0,1.0,5.0,8.0,At Risk
12689,26,2,1247.61,623.805,101,57,4.0,2.0,4.0,10.0,Loyal Customers
12690,206,1,389.01,389.01,0,16,1.0,1.0,2.0,4.0,Hibernating
12691,28,6,1035.8,172.63333333333333,329,21,4.0,4.0,4.0,12.0,Champions
12693,121,6,830.96,138.49333333333334,198,35,2.0,4.0,3.0,9.0,Loyal Customers
12694,70,2,869.67,434.83500000000004,112,32,3.0,2.0,3.0,8.0,Recent Customers
12695,7,4,582.1,145.525,203,23,5.0,4.0,3.0,12.0,Champions
12697,21,5,939.02,187.804,148,37,4.0,4.0,4.0,12.0,Champions
12700,8,6,4867.99,811.3316666666666,207,193,5.0,4.0,5.0,14.0,Champions
12701,80,2,797.71,398.855,162,50,2.0,2.0,3.0,7.0,At Risk
12702,20,1,219.0,219.0,0,12,4.0,1.0,1.0,6.0,Potential Loyalists
12703,64,2,274.7,137.35,7,21,3.0,2.0,2.0,7.0,Recent Customers
12704,7,10,2220.84,222.084,162,64,5.0,5.0,5.0,15.0,Champions
12705,15,14,6814.24,486.7314285714286,341,228,4.0,5.0,5.0,14.0,Champions
12707,292,1,603.42,603.42,0,33,1.0,1.0,3.0,5.0,At Risk
12708,30,16,2616.32,163.51999999999998,338,86,4.0,5.0,5.0,14.0,Champions
12709,3,26,9294.1,357.4653846153846,363,103,5.0,5.0,5.0,15.0,Champions
12710,97,4,1130.57,282.64250000000004,104,75,2.0,4.0,4.0,10.0,Loyal Customers
12712,23,17,4241.63,249.50764705882352,348,59,4.0,5.0,5.0,14.0,Champions
12713,1,1,848.55,848.55,0,38,5.0,1.0,3.0,9.0,Loyal Customers
12714,9,5,4708.86,941.7719999999999,285,216,5.0,4.0,5.0,14.0,Champions
12715,106,1,353.86,353.86,0,20,2.0,1.0,2.0,5.0,Hibernating
12716,4,2,1053.49,526.745,129,60,5.0,2.0,4.0,11.0,Loyal Customers
12717,151,3,980.98,326.99333333333334,94,49,2.0,3.0,4.0,9.0,Loyal Customers
12718,71,1,238.25,238.25,0,19,3.0,1.0,2.0,6.0,Recent Customers
12719,5,3,608.1,202.70000000000002,59,34,5.0,3.0,3.0,11.0,Loyal Customers
12720,3,29,5713.28,197.00965517241377,366,211,5.0,5.0,5.0,15.0,Champions
12721,32,7,2628.98,375.56857142857143,334,134,4.0,4.0,5.0,13.0,Champions
12722,85,6,904.33,150.72166666666666,65,50,2.0,4.0,3.0,9.0,Loyal Customers
12723,4,5,725.07,145.01399999999998,61,53,5.0,4.0,3.0,12.0,Champions
12724,5,4,1031.41,257.8525,327,47,5.0,4.0,4.0,13.0,Champions
12725,371,1,427.8,427.8,0,24,1.0,1.0,2.0,4.0,Hibernating
12726,28,7,2609.1,372.7285714285714,329,57,4.0,4.0,5.0,13.0,Champions
12727,11,9,3947.7,438.6333333333333,309,109,5.0,5.0,5.0,15.0,Champions
12728,71,4,836.33,209.08249999999998,261,38,3.0,4.0,3.0,10.0,Loyal Customers
